id,first_name,last_name,email,password_hash,phone,team_id,streak_days,created_at,updated_at
28,Gioffre,Lerner,rgiovine@example.com,b060a6ebd02fcc8fce90377b7847de8430a038dd58183d71444751587f6ce667,046145581,3,10,2025-03-13 20:49:42.756299,2025-11-07 18:20:52.555598
29,Griselda,Corradi,azegliopozzecco@example.com,c58f1d9805feb3bcc39979b46d8fe8a895f81d144a57de910133624f79868cde,0737036697,3,3,2025-01-02 19:58:30.150826,2025-11-07 18:20:52.555713
30,Mauro,Mancini,ipucci@example.net,46713b20c92321c535fb673f28de71faed61df2dcc24a196b03f68d21dceb599,+39 08253467052,3,2,2025-09-19 04:47:00.759524,2025-11-07 18:20:52.555817
31,Dionigi,Udinese,pertilecarla@example.net,fcfd65ec56b96098da2f87133ddd4352655d3d6f8edaf2fc4f6ea3dbe44a6276,+39 35196272063,4,12,2025-05-22 07:18:20.521057,2025-11-07 18:20:52.555924
32,Martino,Parini,marcella64@example.org,25003022b133da64dd059a99901363b0254c30d2f6d398e9b42af40c944ad5c7,+39 371653100,4,3,2025-09-18 19:15:38.162642,2025-11-07 18:20:52.556144
33,Donna,Corradi,dinosforza@example.net,5aed8ad8be70c005667ea63c08d2bf22bc69758db87d98dd0d30f6f8cf845950,+39 0794529911,4,11,2025-06-29 20:01:55.159479,2025-11-07 18:20:52.556276
34,Lorenzo,Panicucci,efieramosca@example.net,d76fc79be0a45744fe311df6250ba5ba9dea1e787a678ef0f632f1d98086e009,+39 03324919085,4,11,2025-01-22 10:18:11.961303,2025-11-07 18:20:52.556391
35,Fabrizia,Morrocco,pugliesepriscilla@example.com,25c3117b85f8a5933aa82e0eac2726efff739182a4f333b32bda3e740c2f138e,35177262897,4,8,2025-05-16 08:39:57.787028,2025-11-07 18:20:52.556501
36,Lisa,Inzaghi,serena31@example.com,6c7bc80a4c867a5ee948aaeb803fdca900d3d395576708a3a9a4e4a2e03adabe,+39 3497996505,4,1,2025-06-01 12:19:01.037304,2025-11-07 18:20:52.556605
37,Michelangelo,Guicciardini,hugo94@example.net,0a8af7cd7d86b391495deae9785885ed8f020216ddb57cedde7bbcf0935ae855,+39 0313678377,4,14,2025-01-29 22:01:27.301167,2025-11-07 18:20:52.556723
38,Gianfrancesco,Pirandello,libertopacillo@example.com,fe924a2084aede92bb11009d3c7a10d976e118fc3f9aa2baee5857336e640361,0761855744,4,3,2025-02-07 11:53:36.779706,2025-11-07 18:20:52.556832
39,Fredo,Mennea,valentinomariana@example.net,78968f4d141cb47113bd8a4fed7cca463da10a469bff07bcab7b3048ef1dd66e,+39 346749894,4,12,2025-04-03 01:30:32.943485,2025-11-07 18:20:52.556941
40,Michelotto,Errani,alberto82@example.com,7b3643054ba803a56c0b0f5ca25db9192d884965688e4ff5de04960eede9f144,+39 09324271077,4,2,2025-04-16 21:06:12.005952,2025-11-07 18:20:52.557043
41,Arnaldo,Grimani,ecarnera@example.com,6047ce43e068361f56e47f581a241c18ef6756e7924fe3e8e6bb2404a0f6ed76,+39 0372294139,5,9,2025-07-05 06:07:16.797855,2025-11-07 18:20:52.557161
42,Dolores,Gelli,csalieri@example.com,f0898658e3d4facbf860374fbe909cb6deeaca41bc2c4b2cdeee4852f26fb958,0559909131,5,11,2025-02-18 19:23:11.124245,2025-11-07 18:20:52.557276
43,Fedele,Villarosa,crisafulliadamo@example.com,9c9005185e8f8f4ff6818a9d27fe17ebf594ee93b2d4288955439e664b2575c9,054403447,5,6,2025-10-15 02:50:59.587731,2025-11-07 18:20:52.557382
44,Milena,Ficino,icarosone@example.org,a1abe8b2334b734ac2549ee90585bace34a56eff068869dec35c27692600c7e1,3793210247,5,2,2025-05-26 15:42:44.874209,2025-11-07 18:20:52.557486
45,Leopoldo,Pinamonte,temistocle87@example.com,24c6965608f2410aa580038a2bc47ff602e39339b7704dc948b4b73ee555b8c7,+39 350165940,5,1,2025-10-26 22:16:03.113255,2025-11-07 18:20:52.557588
46,Romina,Argan,aurora02@example.com,85bb2f93b6f3c5860f0efee1bd886280eb9fe0ddfc8b988cc5b55f1c9927da2d,38242967155,5,7,2025-04-10 18:33:50.867463,2025-11-07 18:20:52.557704
47,Coluccio,Curiel,piergiorgio74@example.net,9f6fd93ae3c5bc544d030fbd89121e9fca416d950253912d8ce73d4482daf573,+39 0783154518,5,9,2025-07-24 09:03:35.575412,2025-11-07 18:20:52.557807
48,Alessandra,Scamarcio,mberre@example.net,643049ee57bda7504bd996d2c0b83bc1f3a612e0b8432959e51e63f392986e19,3515703487,5,2,2025-10-01 17:39:37.480081,2025-11-07 18:20:52.557916
49,Sebastiano,Cassarà,giradellojolanda@example.org,fd48ded432917e368ab7bfc10dd7bce1816b955f8dc0e821fd4969a039d37f43,+39 093261317,5,7,2025-06-04 21:03:28.216914,2025-11-07 18:20:52.558024
50,Lauretta,Maffei,pierluigi77@example.org,98825c006d0a363ba7679d63f4dec73c9142c840f1e965ea5384cf79f3c8ceac,+39 07139821450,5,3,2025-03-29 21:30:41.408771,2025-11-07 18:20:52.558159
51,Lazzaro,Stein,riccardovasari@example.com,808a5c4b3f23a73e1fa0e60b4546a75d16ffe1d6112f34fb3a6069dea44cbb14,0783533960,6,12,2025-04-09 21:04:10.931396,2025-11-07 18:20:52.558271
52,Salvatore,Parri,fcorcos@example.org,a76e45ddc657a7c2abb379d6027a03b948fa9b2e63392b8c4b48f67b31e6e61c,375717187,6,8,2025-05-08 09:45:47.259078,2025-11-07 18:20:52.558378
53,Filippa,Costalonga,seddiomelissa@example.com,6ae539da7856760edc5b93a85d38fae5a5eafdc5bbf36170179e11cf2b807945,330158657,6,14,2025-03-14 22:59:53.235342,2025-11-07 18:20:52.558487
54,Giulietta,Luna,ludovicabuonauro@example.com,7b69546e6404772277fdf3ad7a8ed543fa65677d8b3c76dd39b3194acd2427d6,+39 0775240055,6,11,2025-04-27 11:41:42.752204,2025-11-07 18:20:52.558595
55,Ennio,Gottardi,rzichichi@example.org,5dc8482cce39d80e975d4ae757121622d458da0402f9011d9cb0a487720e4068,+39 0996937924,6,5,2025-05-23 19:38:11.800561,2025-11-07 18:20:52.558709
56,Gelsomina,Aloisio,rlupo@example.net,689e6c5a935171db91b633f57f57d09679de5576dbf3d356fdeeecfa770beb53,3714594644,6,11,2025-11-07 13:40:32.201105,2025-11-07 18:20:52.558812
57,Serena,Soranzo,ginesioorazio@example.net,0f753434b87448d2d47fa07b361c77a3cae9e71a89c6c000d3ae75872bf7d955,3664064094,6,11,2025-08-30 01:44:45.640882,2025-11-07 18:20:52.558920
58,Gianmarco,Niggli,erikafavata@example.net,d992a85ca03a6ba47c2ee27c52eb95c45a53d12aea9d7989f25bf0fd477ca784,+39 3515104702,6,6,2025-10-10 16:19:14.061420,2025-11-07 18:20:52.559027
59,Marcantonio,Prada,galassocherubini@example.net,b46451f701b1771a19f020f1eba66215fc9a53b588e42053de313704741fa41a,08984247411,6,8,2025-02-13 17:48:53.172273,2025-11-07 18:20:52.559153
60,Gianluca,Petrucelli,carlo60@example.com,80add0e1554947644b7b9f4840379b9d309dbb826315457cd79d3e7070152f37,0588496510,6,2,2025-07-12 12:47:45.596583,2025-11-07 18:20:52.559258
61,Annamaria,Mondadori,fabriziabocca@example.net,01f5165c3d76eab4ae56bb0f656b28c5cd6828f6c1dca1472c70e8ebb0ec2c6f,3306120041,7,5,2025-03-14 23:13:13.080383,2025-11-07 18:20:52.559363
62,Adele,Chittolini,xsansoni@example.net,e68074e18e615d02b0d1287c2f21ce35e9db4e4947a4f96c35b04eb2b4eca8e4,0961261794,7,7,2025-08-03 12:21:11.716217,2025-11-07 18:20:52.559474
63,Gian,Ruffini,xgilardoni@example.org,2d221a7562df70a0a6a70498d277c538262f1b808869f9c1926d7fca5d9530ce,0921506431,7,5,2025-07-25 23:09:35.080939,2025-11-07 18:20:52.559575
64,Eva,Argentero,montesanogioachino@example.org,02f8d67bf4fd301e29e0056d13ac4acdbc6050409fe5acb0e1e3ec0223be11e9,+39 0187839332,7,14,2025-03-28 04:00:44.032739,2025-11-07 18:20:52.559688
65,Ennio,Cesarotti,nedda21@example.net,59491952b5a2bc41553c8357a6615d85a3d15c3f6fdf90ce4f0d7ac1b74e2dc5,+39 0123539500,7,12,2025-02-09 09:24:33.490132,2025-11-07 18:20:52.559789
66,Pierpaolo,Trobbiani,boccacciosalvi@example.com,526781978b700a78714e7c7aa922120bbc12a1071fca976ee892ee9ccbde86f3,+39 0782839087,7,8,2025-01-19 21:39:25.354149,2025-11-07 18:20:52.559894
67,Sante,Pigafetta,fcannizzaro@example.net,694a5c853272461d15cc2f71a79a7bff0c8a28d67b2b88c4ff876d4f87802f7b,+39 3510159219,7,7,2025-07-16 17:42:22.967472,2025-11-07 18:20:52.559995
68,Allegra,Modiano,sturchetta@example.com,848411394a86021e7049de07405c89fd6f86ca190ff2091e2429d0294af0b44c,0331183675,7,10,2025-09-15 03:10:49.211144,2025-11-07 18:20:52.560097
69,Pasqual,Praga,mazzeopompeo@example.com,fd20645b1ea2b98a276dbdb5f58a15be2e5d28877cf093ab7e56390b8a225a80,3772271111,7,1,2025-08-20 09:24:12.541428,2025-11-07 18:20:52.560214
70,Niccolò,Cesarotti,zampaannamaria@example.com,86e67ccd2973140d22860d005273c76cbf7dd0c25f34c9734d98126d4ccb2ca7,0584604941,7,7,2025-02-18 02:01:53.267763,2025-11-07 18:20:52.560320
71,Santino,Garzoni,nicolettirosina@example.net,7f682f499bbb32f21fba74da6b7d74f6ccdbd18d4d882081c69dc3ab2c3e464c,0934368990,8,1,2025-02-26 01:36:20.913785,2025-11-07 18:20:52.560422
72,Iolanda,Mascheroni,maurizio02@example.org,0b3db6fa6152e2892140e23dea492cd2c17313c9a9978e25d92a2de27c867a5e,01872018365,8,10,2025-02-18 22:00:47.241723,2025-11-07 18:20:52.560523
73,Lorenzo,Mocenigo,bernardiermanno@example.org,3dbaea69fd878f9e02585131be1eb827d18b600d0a80cfbb2935fd2db66286e6,+39 33714767963,8,12,2025-08-23 14:37:42.664539,2025-11-07 18:20:52.560651
74,Damiano,Murri,scapuana@example.net,b130f6fc5c62d6fd1d034152bab5aabc7a9311f011530b75b0199309a6f2271c,088440369,8,8,2025-03-05 12:39:31.518900,2025-11-07 18:20:52.560755
75,Giacomo,Cibin,jacopo51@example.org,41f22f9c41b20af1b3b589460f28d816509908eac7ac55baf1a15563df8bd3c8,04026838810,8,2,2025-05-16 13:28:38.822925,2025-11-07 18:20:52.560857
76,Romeo,Bosio,aria69@example.com,eda78adb8f72daa84b6ec2bda773ee1049534ebcbd426d3dd46260c514b5d7ef,0544160525,8,6,2025-05-16 17:08:53.990419,2025-11-07 18:20:52.560964
77,Coriolano,Gonzaga,hpiccio@example.org,86d99424f394538b2115a6fb15e6a66718d89fb8be82f85b595e2d5d1ef114e5,347535218,8,10,2025-10-09 12:41:12.450906,2025-11-07 18:20:52.561065
78,Maurilio,Nicolucci,gianpietrocamilleri@example.org,16591c59563c3075d89e96dfbd56df2a8c101eb9113cb5ff90b951faea5d64b5,+39 09742127795,8,6,2025-02-16 21:53:34.077189,2025-11-07 18:20:52.561232
79,Baldassare,Scotto,ymarcacci@example.com,1e21084acd0aa6ae60d1638dcd686868de0a43d8c0d7765832531bef5d37a895,0865147704,8,15,2025-01-24 20:17:11.371519,2025-11-07 18:20:52.561479
80,Stefani,Bulzoni,lscandone@example.net,92049ebbc9d10f891933b72259a3ab0566c7d3feba72bba14c25e1db4cd0e0c9,+39 078293597,8,12,2025-05-21 00:09:28.904257,2025-11-07 18:20:52.561675
81,Paola,Munari,tiepolofabia@example.org,77120052c7d0543a9599b55eb6a5ad786205cad97875f1783ac297a9cf43db4f,07748892546,9,14,2025-08-29 16:13:39.845374,2025-11-07 18:20:52.561876
82,Giovanna,Bernardi,baccio51@example.net,9acebbcdffdb1c49143074c564f1fedb18560cdfae0e0d680aff008847061605,05092519242,9,4,2025-07-04 22:01:27.918014,2025-11-07 18:20:52.562078
83,Calcedonio,Mastandrea,imondaini@example.net,a39b0ca4c694ba85773a2551973890ea1aff90fad0d2cdd464509722824e2407,+39 3520685052,9,8,2025-04-17 04:45:31.236864,2025-11-07 18:20:52.562298
84,Marisa,Speri,gianlucacibin@example.org,d6ff912da53c20b76fabff023e448c6728ffdb95c8bd560b01462fba93f68ba3,+39 0865880592,9,4,2025-02-20 10:05:46.081430,2025-11-07 18:20:52.562484
85,Rita,Delle,abattelli@example.com,c0cfc2c74374fb9696744c67c80927b373889423af17f59104d322f2080aea77,+39 3701794737,9,7,2025-10-08 22:09:17.985656,2025-11-07 18:20:52.562674
86,Fulvio,Pacelli,xscalfaro@example.com,685596147c659ee58c6802e610b838fa1ffee404a879e0acf120f1ebcd8ec30d,3779239245,9,8,2025-06-22 07:57:27.850765,2025-11-07 18:20:52.562946
87,Claudio,Tozzi,lucarellibruno@example.org,fcae05ec5db0d7156fbd21e749dbd74e3cd9a55af2222c9c3dd69afdaf673749,+39 3710613750,9,13,2025-05-04 04:53:29.588482,2025-11-07 18:20:52.563172
88,Nico,Gigli,xbragadin@example.org,30af809cbc1422f6338e12f1f631283d1d7a5f5f430f3f2aacfb017fd7ced07c,+39 33115220427,9,12,2025-07-11 05:28:52.702951,2025-11-07 18:20:52.563362
89,Bernardo,Antonini,giampiero28@example.net,b7f12223826d6fb5e431088fb0b4d1dad1dc16dd3d5af6b4a8a164de9c3d8cef,0342434109,9,11,2025-05-23 01:18:44.376597,2025-11-07 18:20:52.563539
90,Costantino,Tartaglia,totinoaria@example.org,9f2360f786904953334ca9a8baf4bd070a84c541abf1c13cf1e4433c8b68084c,0765095392,9,7,2025-06-12 16:19:47.594857,2025-11-07 18:20:52.564065
91,Michelotto,Boito,pennettatatiana@example.com,bbd9d7ade722c32c186e18d032d939c55815fd6ce88caeb5177d08e2a9b9c67c,0594051532,10,4,2025-01-14 18:40:15.536182,2025-11-07 18:20:52.564295
92,Alina,Morgagni,ritascarpa@example.net,5ff4cb37bd43250b0a12bffad095bcd81b0d973c53d751a7e9aadf88a3d5b769,+39 392217043,10,15,2025-10-03 06:31:57.914946,2025-11-07 18:20:52.564448
93,Luchino,Mastroianni,evento@example.com,0d4c3afed3e5bec62b07510411d2fcb3e880ec1c4601a23a26374116188ddfc5,+39 05435054167,10,2,2025-10-06 00:31:03.260693,2025-11-07 18:20:52.564561
94,Orlando,Morlacchi,stefanotamburini@example.com,f611968b22e17d74ff52bd786ad3668589a97d884f9482dbaf875298cdacefa6,3901616925,10,1,2025-01-25 21:10:54.425947,2025-11-07 18:20:52.564686
95,Fortunata,Malaparte,riccardo96@example.org,6afb0545d8d01468583bd84a8c60d185cbca6030f2da83cf82f03283b6472739,077605964,10,3,2025-07-28 13:55:22.318357,2025-11-07 18:20:52.564793
96,Pellegrino,Ortese,amadeococci@example.net,4dadab4d41cdc8d1e907968974636ed48c7889ead0ad580342ae944e456d739b,015213556,10,4,2025-07-31 00:40:51.539352,2025-11-07 18:20:52.564902
97,Napoleone,Palazzo,kborsiere@example.org,43fb9d4282fac506a008c621b71f88371b62e97d5c7f2ab03eb45dbd5c8de04b,05654310288,10,5,2025-02-06 14:18:08.852496,2025-11-07 18:20:52.565010
98,Matilda,Gullotta,ngabbana@example.com,9d234ae5ce8a19cf72b331ab528c905c33b74421f37b94d88ad490c1741184cf,04261217215,10,13,2025-08-09 11:59:58.967211,2025-11-07 18:20:52.565143
99,Amalia,Veneziano,victoria42@example.net,470fc5ba263bd6a1792a537b7583a9fa27463b0d5bde7167471aa061e9ed4131,+39 3885831320,10,2,2025-04-23 03:41:30.447951,2025-11-07 18:20:52.565264
100,Antonina,Pacillo,ivilladicani@example.net,d9444476e973305951262cb9ea112fcbcdbc6e359a938227b34f474ee91e90d9,+39 056467866,10,12,2025-10-30 04:20:46.354891,2025-11-07 18:20:52.565368
